变量符号,变量名称,策划案对应设定与说明
G,当期金币总收益,单位周期内玩家获得的金币，核心来自游客消费，含任务 / 小游戏补充项
Gbase​,游客消费基础金币,游客观光消费带来的持续性核心金币收入，金币循环的核心来源
Gextra​,额外金币收益,完成文化任务、趣味小游戏、剧情事件获得的一次性 / 周期性金币，无收益时为 0
Gtotal​,累计金币总量,玩家账户内的实时金币余额，决定建造 / 解锁能力，为 0 时触发破产机制
Cost,当期金币总支出,建造 / 升级建筑、解锁建筑师、购买建筑材料的总花费
T,当期活跃游客总量,单位周期内进入城市的游客总数，核心由岭南文明程度驱动
C,岭南文明程度,游戏核心驱动指数，决定游客吸引力，由建筑、奇观、建筑师、游客量共同决定
Cbuild​,建筑基础文明度,古、中、现三个时代已建成 / 升级建筑的文明度基础值之和
Cwonder​,奇观固定文明度加成,历史残留空白处建成的奇观建筑群，提供的固定大额文明度加成
Ctourist​,游客量反向文明度加成,对应策划案「游客量可增减岭南文明程度」设定，游客量带来的文化传播额外加成
Nanc​,古代建筑规模系数,已建成古代岭南建筑的「数量 × 等级」加权值，等级越高数值越大
Nmid​,近代建筑规模系数,已建成近代岭南建筑的「数量 × 等级」加权值，等级越高数值越大
Nmod​,现代建筑规模系数,已建成现代岭南建筑的「数量 × 等级」加权值，等级越高数值越大
A,单游客人均消费系数,单个游客单位周期内的消费溢价，由岭南文明程度直接决定
α1​/α2​/α3​,时代建筑权重系数,古 / 中 / 现建筑对文明度的贡献权重，贴合文化价值设定 α1​≥α2​≥α3​
β,奇观倍率加成,已建成奇观的联动倍率，无奇观时β=1，多奇观叠加β>1
γ,建筑师倍率加成,已解锁岭南建筑师的总倍率，无解锁时γ=1，多建筑师叠加γ>1
δ,经营状态修正系数,正常经营δ=1，正向剧情 / 活动δ>1，负面事件 / 经营不善δ<1
ε,破产保护保底项,正常经营时ε=0，金币耗尽触发破产时生效，对应小游戏回血机制
μ,游客文明度转化系数,游客量对文明度的转化常量，用于平衡数值，固定基准值
k1​/k2​/k3​,基础平衡常量,分别为「文明度→游客量」「游客量→金币」「文明度→消费溢价」的基础转化系数，用于游戏数值平衡性调试，固定基准值
